country,location_name,latitude,longitude,timezone,temperature_celsius,condition_text,wind_mph,wind_kph,wind_direction,precip_mm,precip_in,humidity,cloud,feels_like_celsius,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_us-epa-index,air_quality_gb-defra-index
Czech Republic,Prague,50.08,14.47,Europe/Prague,14,Partly cloudy,9.4,15.1,SSW,0,0,88,25,13.5,250.3,19.1,12.2,1,1
Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville,26.6,Clear,6.3,10.1,WSW,0,0,50,8,27.2,667.6,32.2,2.2,2,2
Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen,14,Clear,2.5,4,SSE,0,0,88,0,12.8,260.4,70.1,3.8,1,1
Djibouti,Djibouti,11.6,43.15,Africa/Djibouti,32.5,Clear,8.1,13,NW,0,0,55,10,37.1,277,35.4,1,1,2
Dominica,Roseau,15.3,-61.4,America/Dominica,26,Partly cloudy,2.5,4,WNW,0.1,0,100,50,28.4,217,21.6,1.8,1,1
Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo,29,Partly cloudy,5.6,9,SE,0,0,84,50,34.2,774.4,0.2,25,1,1
Ecuador,Quito,-0.22,-78.5,America/Guayaquil,17.5,Patchy rain possible,5.1,8.3,N,0.1,0,55,85,17.5,2002.7,40.8,98.7,2,3
Egypt,Cairo,30.05,31.25,Africa/Cairo,28,Clear,5.6,9,ENE,0,0,62,0,29.9,297.1,39,14.6,2,4
El Salvador,San Salvador,13.71,-89.2,America/El_Salvador,30,Partly cloudy,4.3,6.8,SW,0.7,0.03,79,25,40.4,413.9,15.4,11.5,2,2
Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo,24.6,Partly cloudy,8.9,14.4,WSW,0,0,87,48,26.9,420.6,25,0.1,1,1
Eritrea,Asmara,15.33,38.93,Africa/Asmara,17.8,Patchy rain possible,4,6.5,SW,0.1,0,65,74,17.8,297.1,37.6,1.2,2,3
Estonia,Tallinn,59.43,24.73,Europe/Tallinn,18,Light rain shower,4.3,6.8,S,0,0,100,75,18,220.3,33.3,2.1,1,1
Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane,10.5,Clear,3.1,5,WNW,0,0,77,0,10.3,440.6,49.4,3.6,2,2
Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa,13,Moderate rain,5.6,9,W,0.1,0,100,75,13.6,4592.9,10.4,10.3,5,10
